PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	478	3.406855	3.61163	3.728662	204.1595	63869.91796875	261519.4375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1277.398	204.07178:11980 204.15953:72496 205.0289:39008 205.16235:5833 205.98734:71296 206.06053:10541 206.57533:2355 206.99513:30453 208.99554:18599 209.07991:2922	
1	Unknown	487	3.472682	3.677458	3.77253	276.1807	71314.5	320850.5625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	120.1301	276.18066:80882 277.02988:2338 277.18408:12281 277.50565:2528 278.95425:4719	
2	Unknown	563	4.123582	4.233287	4.284482	215.1255	149871.03125	797036.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	109.1211	215.12553:173246 215.99565:8698 216.08672:15348 216.12903:11054 217.00032:2770 217.98729:5437 218.06041:6422 218.10237:23256 218.99521:48159 219.0177:11384 219.3871:2169 219.99989:2332 220.00493:2272 220.04938:53521 220.11795:3175	
3	Unknown	619	4.357617	4.642845	4.833002	432.2807	198405.328125	1165368.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	169.9664	432.28067:211598 433.2843:47221 434.28387:5380 434.97076:2549 435.77216:3721 437.23608:51532	
4	Unknown	656	4.6721	4.913508	5.059773	476.3069	209164.0625	985697.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	313.279	476.30695:222109 477.31052:48618 478.31125:6408 481.26236:50365	
5	Unknown	675	4.730659	5.052536	5.396145	218.2114	4794605.5	23055414	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	95892.11	217.98714:7761 217.99565:2607 218.10249:20213 218.16844:5314 218.18288:7136 218.18739:5453 218.18944:3397 218.1925:9948 218.1973:12342 218.19972:21459 218.20435:21960 218.2114:5387151 218.21758:33399 218.22162:19776 218.22762:12105 218.23259:7942 218.23468:4388 218.23741:6829 218.24228:6070 218.24677:3637 218.26173:5080 218.58658:5306 218.995:35377 219.01758:7952 219.10593:2497 219.17223:2756 219.21472:702486 219.22485:4082 220.00233:2515 220.04909:50683 220.21393:12302 220.21884:29125 220.99536:6914 221.05263:4692 222.09831:2705 222.11273:5460 222.98544:2834 222.9906:4029	
6	Unknown	675	4.869578	5.052536	5.359575	219.2147	617412.9375	2938557.5	null	[M+H]+	M + 1	isotope of 5	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	12348.26	218.995:35377 219.01758:7952 219.10593:2497 219.17223:2756 219.21472:702486 219.22485:4082 220.00233:2515 220.04909:50683 220.21393:12302 220.21884:29125 220.99536:6914 221.05263:4692 222.09831:2705 222.11273:5460 222.98544:2834 222.9906:4029	
7	Unknown	683	4.90614	5.11092	5.344948	198.1853	67543.5	310685.9375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	13.4861	198.02342:2551 198.07635:6448 198.18529:70388 199.18874:7286 199.90538:2093 200.09186:15413 200.20105:9771 201.0206:5106 201.02393:7262 201.99286:41404 202.55002:2536 202.96461:2367 202.99181:3262 203.02298:9271	
8	Unknown	683	4.854957	5.11092	5.264512	216.1959	88963.9921875	443351.90625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	166.5852	215.99545:8500 216.08669:16301 216.19589:95627 216.98009:3210 216.99931:3910 217.10803:6786 217.19911:11290 217.9874:8406 218.06024:3102 218.10242:24522 218.20343:5210 218.2115:1556730 218.21881:6766 218.22134:5225 218.62622:2310 218.9951:31941 219.01753:5663 219.21484:204839 220.00339:3541 220.04922:63298 220.11803:4147 220.21857:11422 220.99544:7171 221.0522:3349 221.05981:2269	
9	Unknown	684	4.90614	5.118228	5.293753	188.2009	192823.9375	1000705.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3856.479	188.09175:8195 188.1282:3652 188.2009:211686 188.78452:2434 189.03395:2764 189.20421:23350 189.45537:2606 190.00089:13881 191.02283:5135 191.04919:3024 191.0681:2445 192.96167:13189 193.08369:2810	
