PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	619	4.357617	4.642845	4.833002	432.2807	198405.328125	1165368.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	169.9664	432.28067:211598 433.2843:47221 434.28387:5380 434.97076:2549 435.77216:3721 437.23608:51532	
1	Unknown	656	4.6721	4.913508	5.059773	476.3069	209164.0625	985697.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	313.279	476.30695:222109 477.31052:48618 478.31125:6408 481.26236:50365	
2	Unknown	675	4.730659	5.052536	5.396145	218.2114	4794605.5	23055414	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	95892.11	217.98714:7761 217.99565:2607 218.10249:20213 218.16844:5314 218.18288:7136 218.18739:5453 218.18944:3397 218.1925:9948 218.1973:12342 218.19972:21459 218.20435:21960 218.2114:5387151 218.21758:33399 218.22162:19776 218.22762:12105 218.23259:7942 218.23468:4388 218.23741:6829 218.24228:6070 218.24677:3637 218.26173:5080 218.58658:5306 218.995:35377 219.01758:7952 219.10593:2497 219.17223:2756 219.21472:702486 219.22485:4082 220.00233:2515 220.04909:50683 220.21393:12302 220.21884:29125 220.99536:6914 221.05263:4692 222.09831:2705 222.11273:5460 222.98544:2834 222.9906:4029	
3	Unknown	675	4.869578	5.052536	5.359575	219.2147	617412.9375	2938557.5	null	[M+H]+	M + 1	isotope of 2	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	12348.26	218.995:35377 219.01758:7952 219.10593:2497 219.17223:2756 219.21472:702486 219.22485:4082 220.00233:2515 220.04909:50683 220.21393:12302 220.21884:29125 220.99536:6914 221.05263:4692 222.09831:2705 222.11273:5460 222.98544:2834 222.9906:4029	
4	Unknown	683	4.854957	5.11092	5.264512	216.1959	88963.9921875	443351.90625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	166.5852	215.99545:8500 216.08669:16301 216.19589:95627 216.98009:3210 216.99931:3910 217.10803:6786 217.19911:11290 217.9874:8406 218.06024:3102 218.10242:24522 218.20343:5210 218.2115:1556730 218.21881:6766 218.22134:5225 218.62622:2310 218.9951:31941 219.01753:5663 219.21484:204839 220.00339:3541 220.04922:63298 220.11803:4147 220.21857:11422 220.99544:7171 221.0522:3349 221.05981:2269	
5	Unknown	684	4.90614	5.118228	5.293753	188.2009	192823.9375	1000705.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3856.479	188.09175:8195 188.1282:3652 188.2009:211686 188.78452:2434 189.03395:2764 189.20421:23350 189.45537:2606 190.00089:13881 191.02283:5135 191.04919:3024 191.0681:2445 192.96167:13189 193.08369:2810	
6	Unknown	689	4.90614	5.154795	5.25719	520.3333	221418.015625	865436.9375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	410.7187	520.1311:3242 520.33325:262656 520.93628:3046 521.33661:55054 522.33868:12376 522.53442:3498 525.28851:42418	
7	Unknown	695	5.096345	5.198678	5.396145	174.1853	851199.5625	4185211.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	17023.99	173.96109:47172 173.972:9723 173.98508:4284 173.99782:4401 174.07614:25960 174.1853:912400 174.3073:2013 174.96889:296695 175.04524:16462 175.10764:3668 175.18867:98366 175.97203:11039 175.99739:4402 176.04607:4269 176.0918:30272 176.96931:35572 177.03387:223254 177.96701:11755 177.99234:75398 178.03728:7552 178.96454:12184 178.99535:2242 179.00015:11369	
8	Unknown	695	4.986632	5.198678	5.374203	175.1887	88892.171875	430949.21875	null	[M+H]+	M + 1	isotope of 7	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1777.844	174.96889:296695 175.04524:16462 175.10764:3668 175.18867:98366 175.97203:11039 175.99739:4402 176.04607:4269 176.0918:30272 176.96931:35572 177.03387:223254 177.96701:11755 177.99234:75398 178.03728:7552 178.96454:12184 178.99535:2242 179.00015:11369	
9	Unknown	697	5.125542	5.213312	5.41809	231.0652	181870.21875	697395.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3637.404	231.06522:211013 231.08417:4078 232.0493:10776 232.0686:30538 233.04709:2803 233.06955:3641 234.01874:5500 234.02631:6116 234.99069:4073 235.01393:11874 235.02528:3062 235.16922:3210 236.02162:125134	
