PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	472	3.370207	3.567553	3.7797	204.1591	111050.671875	433657.90625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2221.013	203.99152:9460 204.07161:5382 204.0864:3180 204.15915:123816 204.86497:3064 205.02841:26766 205.16232:10871 205.98694:85893 206.06007:7827 206.10208:5541 206.99467:13424 208.99519:18616	
1	Unknown	656	4.64265	4.913311	5.052365	476.3062	118320.1015625	685840.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	133.359	476.30615:125344 477.30972:23104 478.3107:3651 478.96503:2700 481.26151:35283	
2	Unknown	668	4.796235	5.001027	5.235048	218.2112	151061.6875	643688.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3021.234	217.98672:5415 218.05995:4643 218.10204:36608 218.2112:186681 218.9949:10234 219.01764:6416 219.2144:26327 220.04895:58333 220.11682:2452 220.99509:4414 221.11745:4935 222.11217:9330 222.99034:2997 223.11499:3743	
3	Unknown	676	4.818175	5.059577	5.30087	188.2007	100549.6484375	513522.875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2010.993	188.09161:11286 188.20067:114789 189.03366:3445 189.20406:12812 190.00056:9286 190.10732:4351 191.02251:9711 191.04915:5652 191.97169:4190 191.99608:4042 192.96156:5295	
4	Unknown	687	4.920567	5.139977	5.322818	174.1851	359374.875	1647795.375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7187.498	173.76967:2154 173.96085:55747 173.97179:7051 173.99763:3104 174.02808:2373 174.0759:29413 174.18506:411468 174.96062:2993 174.96863:140560 175.04503:26721 175.1884:46991 175.97145:5671 175.99667:6968 176.09155:31273 176.19324:2575 176.96907:26380 176.98434:3882 176.9888:4416 177.0065:4365 177.03362:160541 177.04311:5035 177.09126:2596 177.9668:12989 177.99211:99659 178.03702:7296 178.96446:8157 178.98471:6244 178.99573:3366 179.0002:3014 179.05629:2293 179.10583:2620	
5	Unknown	689	4.891312	5.154602	5.308193	520.3323	120518.5234375	574399.875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	190.9812	520.33228:137333 521.336:27015 522.33746:6016 525.28717:26666	
6	Unknown	718	5.139977	5.366698	5.491025	564.3586	107293.796875	439632.65625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	178.9605	564.35864:123093 564.4024:3376 565.33099:2417 565.36212:29964 566.36359:6735 569.31378:19978	
7	Unknown	764	5.593413	5.703128	5.77626	273.1669	110040.5	799337.8125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	83.48848	272.93597:4198 273.16693:113446 274.1701:16136	
8	Unknown	766	5.498387	5.717807	5.988347	185.1147	162636.0625	2099200.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	92.46701	185.11472:167955 185.15315:3814 186.07648:2660 186.11806:10825 186.95782:2189 186.99292:2952 186.99539:3477 187.00562:2432 187.0452:4976 188.09169:12340 190.00081:9312	
9	Unknown	821	5.9372	6.120049	6.332097	331.2589	244726.296875	857739.5625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4894.526	331.00143:5322 331.17249:13340 331.25885:310466 331.5611:2460 332.06653:6241 332.26215:49789 333.26562:6533 335.06409:6614	
10	Unknown	828	6.083478	6.171192	6.258955	207.1589	126062.484375	440644.15625	null	[M+H]+	M + 0	similar chromatogram in higher mz_11	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	210.8242	206.9949:9210 207.15887:155963 207.16614:2259 207.17491:2846 208.16214:16094 208.99519:12124 210.10899:3389 211.97684:2928	
11	Unknown	828	6.068797	6.171192	6.273577	229.1408	191621.21875	701931	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	215.0774	229.11832:12685 229.14079:215652 229.22183:2516 230.10219:7787 230.14415:26192 232.04909:14634 233.45097:2535 233.98241:2355 234.0979:2810	
12	Unknown	841	6.054168	6.266324	6.485718	243.0873	186215.28125	681840.6875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	311.2	243.03058:4113 243.08733:225386 243.09581:2909 244.04955:3462 244.09074:24425 245.11263:5829 248.02132:12025	
13	Unknown	892	6.38329	6.639255	6.778262	341.243	195434.015625	861344.3125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	338.035	341.24304:211455 342.24658:39504 343.25186:4999	
14	Unknown	961	6.990315	7.143949	7.348671	227.1251	320890.21875	1539450	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	228.8685	227.11864:2285 227.12506:350536 228.12842:42262 229.11795:21032 229.15524:2376 229.88791:2501 230.06662:4137 230.1017:5057 231.08365:2418 231.25197:2559 231.98959:2193 232.04892:21065 232.07961:2536	
15	Unknown	1013	7.32678	7.524199	7.670475	347.2302	158780.921875	601434.0625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	313.0608	347.23016:195911 348.2334:33292 348.99063:4934 349.23648:3962 350.98618:4442	
16	Unknown	1014	7.275537	7.531512	7.699735	325.2482	368949.75	1447043.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	404.1176	325.1615:4206 325.19443:2176 325.2482:445541 325.30768:2502 326.25165:90510 327.00775:17539 327.25571:2416 329.00464:12935	
17	Unknown	1026	7.546188	7.61933	7.853308	213.1457	199185.171875	1067931.375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	136.6541	213.10165:4056 213.14574:215959 213.97696:2692 214.05374:2529 214.08952:3370 214.14903:22386 214.17972:13595 215.12456:4941 216.07137:3218 216.08641:8222 216.09393:2376 216.57574:2539 217.10294:5321 217.10783:5280 217.15787:3863 217.36525:2504 218.10185:26136	
18	Unknown	1047	7.626588	7.772873	8.050776	149.023	512674.8125	2942699.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	141.7896	148.95372:4611 148.97406:118207 149.01805:11883 149.02304:603150 149.03702:2318 149.09538:4253 149.97191:20410 149.9776:5214 150.0264:47654 150.07561:7168 150.96945:50999 151.02753:3020 151.04988:2940 151.07263:3049 151.07472:4518 151.11143:12026 152.04692:15292 152.06192:10718 152.44617:2131 152.96701:8214 153.05446:2271 153.05734:2721 153.06528:8251 153.09067:6045 153.12703:5620 153.97859:2562	
19	Unknown	1047	7.648531	7.772873	7.963013	177.0543	213157.171875	888704.375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	216.1939	176.96892:17164 176.98869:2902 177.03348:12161 177.05429:272464 177.12686:3195 177.16391:2749 177.96693:3780 177.99196:50963 178.05763:25193 178.96443:4673 178.99997:4582 179.06644:2676 179.10638:8692 179.14275:3392 180.97794:11203 181.00014:38647 181.04927:19481 181.0601:3299 181.12148:3468	
20	Unknown	1047	7.648531	7.772873	7.985002	245.0779	273365.78125	1166317.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	246.0781	245.07793:307275 246.08131:44143 246.66656:2436 247.00183:2624 248.02097:10983 248.1127:4313 250.02174:6471	
21	Unknown	1064	7.816741	7.89719	8.080158	158.1537	102715.859375	442727.15625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	150.0999	157.97443:68511 158.08093:17838 158.15375:122470 158.97234:3500 158.99626:108431 159.01289:6850 159.11641:3315 159.15707:11465 159.96994:21472 159.99969:4166 160.06027:4825 160.09674:5785 160.90175:2219 161.09584:5464 162.07588:11292 162.1123:2803 163.0276:4514 163.03874:9185 163.06023:5775 163.11166:4530 163.14793:4801	
