PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	656	4.650002	4.913335	5.030302	476.3058	106317.1015625	608040.1875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	136.7875	476.30585:113580 477.30927:24682 478.31171:4240 478.47314:2453 479.38388:2768 481.26105:29540	
1	Unknown	666	4.730494	4.986474	5.279013	218.2111	809801.375	3507095.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16196.03	217.98714:3039 218.10205:39873 218.13849:15851 218.20349:3222 218.21109:982435 218.21886:4366 218.99495:6691 219.01726:13809 219.10446:3876 219.13763:5348 219.17351:2944 219.20796:3564 219.2144:130685 220.04886:96974 220.21832:8823 220.99489:4601 221.02026:2405 221.05217:6050 221.11702:12022 221.15277:2960 221.28404:2667 222.12032:2839 223.0936:33053 223.13297:7997	
2	Unknown	666	4.796268	4.986474	5.213147	219.2144	105618.3359375	430620.25	null	[M+H]+	M + 1	isotope of 1	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	207.9869	218.99495:6691 219.01726:13809 219.10446:3876 219.13763:5348 219.17351:2944 219.20796:3564 219.2144:130685 220.04886:96974 220.21832:8823 220.99489:4601 221.02026:2405 221.05217:6050 221.11702:12022 221.15277:2960 221.28404:2667 222.12032:2839 223.0936:33053 223.13297:7997 224.04126:3212	
3	Unknown	686	4.898662	5.132741	5.395983	174.1849	202220.625	881882.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4044.413	173.96074:45228 173.97154:7924 173.99773:4668 174.07591:27476 174.18494:219456 174.96851:117476 175.04492:28262 175.11147:7818 175.18834:21125 175.76746:2148 175.97186:6818 175.99675:5335 176.04604:2426 176.09151:27985 176.96892:26177 176.98883:9376 177.00697:5209 177.03351:122058 177.04245:3232 177.09093:5875 177.09479:3738 177.12715:3045 177.96669:8190 177.99199:106160 178.0369:5325 178.96423:11435 178.98431:3338 179.10643:14821	
4	Unknown	689	4.920599	5.154645	5.279013	520.3322	107806.1875	511578.21875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	188.7202	520.33221:108300 521.33563:29124 522.33582:7325 525.28741:26499 525.31183:2387	
5	Unknown	764	5.395983	5.703158	6.00301	273.1667	172726.203125	2231312.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	144.7612	273.13165:3359 273.16672:171300 274.16968:20898 274.20078:3975 276.18069:3683 277.1044:5497 277.14008:5654 277.17905:4483	
6	Unknown	775	5.673905	5.783602	5.805545	313.1615	128526.7578125	580409.9375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	44.13868	313.1239:3381 313.1615:143224 313.45636:3533 314.16479:22433 315.14227:6174 315.16824:2501 316.17447:5450 316.21103:6204 317.13522:4046 317.15665:5246 317.76505:2359	
7	Unknown	820	5.937237	6.112713	6.31018	331.2585	131848.859375	467818.21875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2636.977	331.00192:4819 331.14951:2558 331.17215:34880 331.25845:158898 332.1774:3805 332.20651:9295 332.2619:26455 333.16653:7520 334.18497:7046 334.22147:6762 335.0629:5277 335.14584:11203 335.18173:9719 336.20145:6451	
8	Unknown	828	6.1054	6.171225	6.251672	229.1405	136472.734375	466080.1875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	84.46317	229.11798:11695 229.14053:168696 230.10164:7046 230.14378:19251 230.17517:2734 231.10376:2405 231.13708:5104 232.04875:30454 233.06903:5874 233.11705:4239 233.15298:4153	
9	Unknown	841	6.12734	6.266348	6.471078	243.0871	128211.1484375	470531.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	200.5482	243.0871:141358 243.12267:6459 243.15982:2916 244.04893:2823 244.0903:13553 245.11273:5089 247.1321:2968 247.14357:3758 247.16881:3320 248.02124:11732	
