mz	mzmin	mzmax	rt	rtmin	rtmax	into	intb	maxo	sn	egauss	mu	sigma	h	f	dppm	scale	scpos	scmin	scmax	lmin	lmax	sample
CP01812	388.254425305735	388.254333496094	388.254547119141	254.421	252.227	257.931	441694.469237979	435789.793815185	99598.984375	16					150	0	4	565	561	569	17	30	2
CP01813	388.254366681927	388.254272460938	388.254455566406	261.003	258.809	264.514	428372.270976561	422466.560372241	125823.46875	21					150	0	2	580	578	582	32	45	2
CP01816	476.306891483423	476.306854248047	476.307098388672	295.231	289.965	298.302	778744.611102389	778736.712891863	148796.984375	148796					156	0	4	658	654	662	17	36	2
CP01818	218.211603645263	218.21159362793	218.211669921875	304.446	302.252	307.079	1007148.36303196	997697.02493752	318116.8125	40					159	0	2	679	677	681	18	29	2
CP01819	520.333291849615	520.333129882812	520.333374023438	309.273	305.324	311.906	727849.870396874	727843.727196874	183790.484375	183789					160	0	4	690	686	694	18	33	2
CP01821	188.201038118913	188.201019287109	188.201080322266	308.396	305.765	311.467	619828.343884615	606390.932334523	172441.15625	18					161	0	2	688	686	690	17	30	2
CP01822	174.185388823978	174.185348510742	174.185440063477	313.23	310.589	315.856	2209460.96582487	2201768.89597354	656489.375	77					162	0	2	699	697	701	18	30	2
CP01823	564.359588580533	564.359375	564.359680175781	321.999	318.488	324.632	576402.675428572	576396.970285715	169928.328125	169927					163	0	4	719	715	723	17	31	2
CP01824	608.385719987436	608.385681152344	608.385803222656	333.847	331.214	336.041	369146.398574574	369142.010392756	120901.4296875	120900					167	0	2	746	744	748	18	29	2
CP01825	241.203699396421	241.203674316406	241.203720092773	334.289	332.531	336.483	311689.02984375	299576.096720588	102970.4609375	10					169	0	2	747	745	749	16	25	2
CP01826	207.15909766785	207.159072875977	207.159149169922	370.708	368.513	372.462	361708.301921008	361704.791698786	167268.796875	167268					171	0	2	830	828	832	18	27	2
