mz	mzmin	mzmax	rt	rtmin	rtmax	into	intb	maxo	sn	egauss	mu	sigma	h	f	dppm	scale	scpos	scmin	scmax	lmin	lmax	sample
CP10615	261.130522886172	261.130462646484	261.130554199219	169.748	165.795	172.815	770983.594760743	744837.499105872	166324.296875	13					153	0	4	372	368	376	43	59	8
CP10617	305.156803163745	305.156707763672	305.156890869141	208.798	206.604	210.993	392752.372121483	371408.104898712	131602.265625	11					157	1	2	461	459	463	33	43	8
CP10618	204.159156985345	204.159118652344	204.159194946289	213.186	211.435	214.942	230294.949855469	230291.881230469	101167.234375	101166					158	0	2	471	469	473	17	25	8
CP10623	476.305863135214	476.305694580078	476.305999755859	294.811	291.297	297.44	686693.381590678	686687.677376392	188800.125	188799					163	1	2	657	655	659	17	31	8
CP10624	198.184859321716	198.184814453125	198.184921264648	302.266	300.511	305.78	390071.834571285	384922.387620324	117815.3515625	19					167	0	2	674	672	676	18	30	8
CP10625	219.214309258476	219.214233398438	219.214401245117	298.756	296.123	303.586	3347661.79389845	3347654.33089845	872109.1875	872108					168	0	4	666	662	670	18	35	8
CP10626	216.195443962885	216.195388793945	216.195541381836	302.266	300.072	304.46	533268.398396872	529378.220374584	172840.28125	33					169	0	2	674	672	676	18	28	8
CP10627	188.200506983298	188.200469970703	188.200576782227	302.266	300.072	306.216	1575914.616	1561383.6667563	436908.28125	48					170	0	2	674	672	676	18	32	8
CP10628	218.210962452247	218.210906982422	218.211074829102	298.756	295.684	303.586	26260506.42875	26196584.2778319	6737105	411					171	0	4	666	662	670	18	36	8
CP10629	175.188299390235	175.188247680664	175.188339233398	307.093	304.899	311.043	628610.785714286	628605.080571429	184542.984375	184542					172	1	2	685	683	687	17	31	8
CP10630	520.332049002778	520.331909179688	520.332092285156	309.287	306.655	311.92	587803.24344727	587798.41719727	199075.546875	199075					173	0	2	690	688	692	18	30	8
CP10631	174.184932657959	174.18489074707	174.184982299805	307.093	304.899	310.168	5835121.36573438	5829815.43470964	1735038.75	320					174	1	2	685	683	687	19	31	8
CP10632	564.357965787177	564.357727050781	564.358276367188	322.014	319.819	324.207	422126.606154685	422122.656954685	161384.84375	161384					178	1	2	719	717	721	17	27	8
CP10633	232.190246146468	232.190155029297	232.190368652344	322.452	319.819	325.085	496528.959546871	482593.083002122	179979.65625	14					179	0	4	720	716	724	17	29	8
CP10634	608.384441355047	608.384155273438	608.384521484375	333.862	332.109	336.056	237106.352794271	234344.594479741	101686.8984375	19					181	0	2	746	744	748	18	27	8
CP10635	232.190299035816	232.190246582031	232.190322875977	333.431	331.668	336.056	318532.758407811	310911.651776193	124412.9296875	14					182	0	2	745	743	747	18	28	8
CP10636	235.209250078411	235.209228515625	235.209289550781	332.984	331.229	336.056	434865.194503551	430516.516404871	154969.984375	27					183	0	2	744	742	746	18	29	8
CP10637	234.205921536479	234.205902099609	234.205947875977	332.984	330.351	335.616	3637852.08591796	3627350.18114113	1108767.375	136					185	0	2	744	742	746	18	30	8
CP10639	289.070088459992	289.070068359375	289.070190429688	364.578	362.826	366.772	330712.035236977	330708.527681421	137955.953125	137955					195	0	2	816	814	818	18	27	8
CP10640	331.258476948469	331.258422851562	331.258544921875	366.333	364.578	368.528	247894.440310333	247890.929199222	101686.78125	101686					197	0	2	820	818	822	17	26	8
CP10641	207.158646199821	207.158584594727	207.158752441406	370.722	368.528	372.918	436837.818679686	436833.867679686	169972.875	169972					200	1	4	830	826	834	18	28	8
CP10642	229.140478163964	229.14045715332	229.140579223633	370.722	368.528	372.918	792575.819984372	792571.868984372	320502.5625	320502					201	0	2	830	828	832	18	28	8
CP10646	243.087125618619	243.087097167969	243.087188720703	375.991	373.804	378.185	368399.303106252	368395.360206252	146164	146163					203	0	2	842	840	844	18	28	8
CP10647	247.245458848487	247.24543762207	247.245498657227	401	398.367	403.633	1505530.99642707	1505525.73042707	444105.75	444105					204	0	2	899	897	901	17	29	8
CP10648	246.242212674295	246.242126464844	246.242233276367	401	398.367	403.633	10094558.2071666	10081122.1901231	2986155.5	311					205	0	2	899	897	901	19	31	8
CP10649	216.231675767852	216.231628417969	216.231735229492	404.513	402.319	410.215	1017422.00969791	1009202.54272395	249813.46875	39					206	0	2	907	905	909	18	36	8
CP10650	202.216086650802	202.216003417969	202.216125488281	409.338	407.143	412.41	1806154.34213869	1806149.07513869	515628.09375	515627					208	0	2	918	916	920	18	30	8
CP10651	227.124626036148	227.124588012695	227.124664306641	428.207	426.012	431.278	626743.357437502	626738.530270836	213819.46875	213818					210	0	2	961	959	963	18	30	8
CP10652	262.236989280376	262.236877441406	262.236999511719	427.768	425.135	432.156	1125545.80733985	1125539.22515235	302574.78125	302574					211	0	2	960	958	962	17	33	8
CP10653	289.069968455663	289.06982421875	289.070098876953	433.472	430.843	436.544	1076137.19491406	1069587.47294875	334214.6875	50					213	0	2	973	971	975	18	31	8
CP10654	325.247754798382	325.247650146484	325.247802734375	451.464	449.27	454.098	442895.576166906	438695.543684662	166021.15625	30					214	0	2	1014	1012	1016	17	28	8
CP10655	347.229698635359	347.229614257812	347.229766845703	451.464	449.27	454.098	437561.168515628	437556.779424719	152012.921875	152012					215	0	2	1014	1012	1016	17	28	8
CP10656	290.073235839781	290.073150634766	290.073303222656	453.658	451.464	455.853	262764.258352149	262760.308252149	101741.140625	101740					216	1	2	1019	1017	1021	17	27	8
CP10657	289.069907519867	289.06982421875	289.069946289062	453.658	451.026	456.292	1825297.85673762	1825292.15190428	569466.75	569466					217	0	2	1019	1017	1021	18	30	8
CP10658	213.145518786475	213.145446777344	213.145538330078	457.173	454.978	460.241	397320.371697915	392111.44226075	120005.578125	19					218	0	2	1027	1025	1029	18	30	8
CP10659	260.062827199606	260.062744140625	260.062866210938	464.635	462.434	467.7	528757.347521481	523123.477783295	169355.546875	25					220	0	4	1044	1040	1048	18	30	8
CP10660	177.054194384809	177.054153442383	177.054229736328	466.384	464.19	469.456	425997.150635744	421664.645155744	148474.421875	28					221	0	2	1048	1046	1050	17	29	8
CP10661	245.07781108693	245.077758789062	245.077850341797	466.384	464.19	469.456	429367.838040041	424840.411303837	149869.78125	27					222	0	2	1048	1046	1050	17	29	8
CP10662	259.059458199718	259.059417724609	259.059539794922	464.635	461.56	467.261	3799132.89438583	3799126.75484737	1117490.125	1117489					223	0	2	1044	1042	1046	19	32	8
CP10663	149.022985184714	149.022964477539	149.022994995117	466.384	463.754	469.017	1171904.62559212	1135419.18112982	369672.96875	26					224	0	2	1048	1046	1050	18	30	8
CP10664	369.187535363235	369.187408447266	369.187622070312	469.456	467.261	472.088	611578.908176846	473234.505582616	164155.140625	28					225	0	2	1055	1053	1057	33	44	8
CP10665	275.276691033388	275.276641845703	275.276733398438	468.142	465.948	471.211	2329247.80139064	2329242.09980731	687330.9375	687330					226	0	2	1052	1050	1054	18	30	8
CP10666	158.153547806521	158.153472900391	158.153610229492	473.844	471.65	476.477	273111.032627131	259471.892503363	105807.8046875	10					227	1	2	1065	1063	1067	16	27	8
CP10667	275.199822206686	275.19970703125	275.199951171875	474.282	472.088	476.918	345690.233512073	341678.048401779	133662.4375	25					228	1	2	1066	1064	1068	17	28	8
