,mz,rtmin,rtmax,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\05_EB3388_AOH_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\06_EB3389_AOH_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\07_EB3390_AOH_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\08_EB3391_AOH_p_60.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\16_EB3392_AME_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\17_EB3393_AME_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\18_EB3394_AME_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\19_EB3395_AME_p_60.mzML
0,101.00704667863806,0.009119568103823616,0.011889962408836875,2929102.984375,3756478.94140625,2353538.9609375,3582418.921875,3150098.015625,2290894.541015625,2389806.259765625,3215683.935546875
1,101.00844397588877,0.006433182323218485,0.0076919863636312116,737591.5751953125,785773.8276367188,773586.7980957031,982005.2133789062,800607.6318359375,839377.583984375,822122.4765625,950680.6899414062
2,102.99877523891006,0.008930252777771668,0.010581944444433333,208590.2802734375,177084.27661132812,162666.8935546875,166075.53002929688,171725.72607421875,146186.1170654297,170949.58056640625,158506.90600585938
3,103.57469541004725,0.17030737222221667,0.17285625833333335,126082.6689453125,99967.62255859375,101269.37670898438,64978.7626953125,130603.47631835938,98820.45288085938,94919.669921875,66577.01977539062
4,104.1069180954673,0.007753313994368566,0.010683970464135021,10675016.923828125,11058040.931640625,11413106.19140625,12765555.09765625,10739267.609375,11118493.240234375,11397394.8984375,12413830.3671875
5,104.96353251424665,0.0021251205450789306,0.007449258909858804,12469532.344726562,9046128.465820312,6304080.405029297,5361118.586181641,0.0,0.0,0.0,0.0
6,105.03344991921243,0.14877608611111665,0.15115057222221664,2825974.8552246094,2648419.1518554688,2517402.5478515625,2311166.998046875,2483496.7275390625,2097825.4553222656,2083678.7783203125,1939915.5688476562
7,105.11020576635926,0.008038340534977777,0.010391121399161112,482596.7312011719,489138.09033203125,549068.3872070312,587399.6977539062,512379.7822265625,501402.7897949219,527233.6428222656,566820.0439453125
8,106.99845645936206,0.06001507738094643,0.0625048611111,476617.5729980469,321307.7346191406,200343.93115234375,70627.74609375,421242.9501953125,245848.55322265625,172234.42895507812,50837.923828125
9,107.0489467966024,0.20640363684641078,0.21062689910131277,386334.5673828125,161181.8525390625,101687.33569335938,117455.43432617188,213753.31713867188,122618.9912109375,106465.470703125,137503.29272460938
10,107.04901501938109,0.17138863541666455,0.17329725486111958,487331.26904296875,516629.36865234375,439696.0798339844,383527.2238769531,308422.3498535156,296987.3459472656,311053.66259765625,302689.2277832031
11,107.04910291150289,0.16054261685824311,0.16268561973180634,398498.5451660156,383753.8591308594,384057.5803222656,298749.2431640625,223092.44262695312,205916.90185546875,208843.42602539062,240157.87573242188
12,107.04910945711642,0.14672407828279846,0.15001049915824696,812752.2612304688,903680.4953613281,762561.5776367188,703698.0258789062,599142.94140625,540888.1130371094,481239.81884765625,466856.142578125
13,107.0703824370181,0.09321026313131303,0.09756028838383425,243506.3486328125,287556.6105957031,216890.85620117188,240143.09106445312,248686.26611328125,118990.37109375,144414.8779296875,110084.87573242188
14,111.11670052374777,0.1732309160353591,0.17556806944445,317563.36279296875,386884.8474121094,397332.4794921875,396779.9636230469,444264.82275390625,388472.0595703125,507648.896484375,491303.8620605469
15,111.11683146775245,0.1651973925120819,0.16654887801932103,335332.8435058594,287147.72265625,52751.822265625,84744.39526367188,65586.80151367188,43981.13037109375,46941.166015625,56919.90185546875
16,111.11695310449079,0.14983674747475303,0.15143247474748028,90095.78442382812,103086.23876953125,78804.94116210938,64377.565185546875,57128.639404296875,47116.07177734375,50079.28515625,58992.97509765625
17,111.9845941384611,0.0022302440087199346,0.007206700435730065,1185829.4184570312,969146.509765625,857247.5498046875,520405.78173828125,257708.84521484375,251491.66662597656,243033.46533203125,228680.35107421875
18,112.05029218691871,0.008937736666662,0.010423463333341333,192666.35815429688,178812.37548828125,156862.34448242188,200303.48266601562,190192.60473632812,187921.33642578125,192925.43359375,192575.0712890625
19,112.97133306976353,0.0022302429193950977,0.007305406318077451,1034287.4963378906,1410320.6982421875,1459333.5485839844,1557302.5192871094,1627521.3498535156,1606438.607421875,1599651.1606445312,1583753.3017578125
20,114.9470219999673,0.0021302180028183546,0.007813669479604431,8129266.2255859375,5956359.025878906,3763890.396484375,3313788.1091308594,0.0,0.0,0.0,0.0
21,115.02404345338712,0.006521319444450001,0.007703834325402381,2261071.58203125,2216782.9921875,2294964.5478515625,2939634.9130859375,2411577.62890625,2365221.412109375,2494077.025390625,2765097.48828125
22,116.0251524559503,0.005447763888882291,0.007675013888884375,299122.626953125,310444.69921875,330088.59765625,427892.6892089844,326628.1730957031,332956.2041015625,332378.6354980469,431896.89697265625
23,116.96604662484388,0.0022300477777719998,0.007188753888889,927721.2397460938,714904.5190429688,725826.6528320312,878357.0380859375,931803.3505859375,911314.7646484375,878043.59375,896067.0908203125
24,117.02145843958768,0.006490584967321568,0.007840926470579412,308554.2409667969,301330.3820800781,317608.9689941406,413897.490234375,297973.43896484375,311210.46875,327283.3947753906,372275.02490234375
25,118.08630421604045,0.0021264553376849674,0.007418166666666667,688105.3933105469,925071.4638671875,1123060.6586914062,1229139.1313476562,1525648.5520019531,1541597.40625,1519114.3981933594,1520227.4580078125
26,118.97915277104126,0.0021248392094070515,0.007326599358969231,7231429.996582031,5314117.7490234375,3861513.5756835938,3152437.36328125,0.0,0.0,0.0,0.0
27,119.03522490154194,0.01216757067509993,0.01577802426159782,94353.39916992188,163886.34790039062,179289.65014648438,142365.4052734375,223780.99536132812,242335.4970703125,234228.45288085938,282641.75732421875
28,119.03522490154194,0.01682644760899585,0.028173914908573912,136608.23681640625,336282.8125,509906.58837890625,1529903.361328125,186683.09301757812,421938.58642578125,595290.96875,1809255.9631347656
29,120.08071878990985,0.013208503968253571,0.023418941798942064,1615518.5708007812,2480589.680908203,2630229.6059570312,4397636.953857422,2694717.2458496094,3058786.4724121094,3741847.1826171875,5470105.955566406
30,121.00776116934819,0.0021305011574131944,0.007052500000016667,394940.49755859375,460628.2248535156,448482.8173828125,437006.46240234375,0.0,0.0,0.0,0.0
31,121.02811556573052,0.19769047645502827,0.19924868888889,155105.73779296875,143494.17333984375,133403.8662109375,139040.49169921875,155988.11279296875,136198.14038085938,129334.37280273438,130957.392578125
32,121.02828133612914,0.16528327281746372,0.1669657787698506,310027.5661621094,339763.4660644531,323311.98828125,358654.96044921875,353847.2761230469,259439.29028320312,269067.1462402344,263125.91357421875
33,121.02828133612914,0.16679054067460772,0.1690466101190494,387055.197265625,423899.28955078125,392692.9851074219,375835.09130859375,424333.3916015625,322587.3903808594,338027.462890625,326461.107421875
34,121.02846378682553,0.1283605843434406,0.13130879444445334,314744.814453125,385569.02587890625,316924.57666015625,312741.248046875,346889.23193359375,210090.02490234375,202481.4658203125,196079.3720703125
35,121.06465990420502,0.18689701543209877,0.1885903518518463,5829171.2822265625,6518760.254394531,803976.0766601562,195651.076171875,425361.2961425781,370220.9921875,266896.2724609375,50900.91357421875
36,122.92963854471843,0.0022289251700731293,0.0069642414965935375,540285.4702148438,615613.9428710938,512108.39306640625,412682.39990234375,289934.9296875,286657.82568359375,312235.71240234375,290985.080078125
37,123.04409820055575,0.1468157184684635,0.14826604129130136,314388.9338378906,191431.42236328125,170895.48046875,174811.44140625,117546.72875976562,254177.4619140625,65064.80224609375,170554.419921875
38,123.05100215336472,0.011186573605701263,0.017326637159538003,13939386.22680664,18222172.88256836,23371716.806640625,1317040.666015625,25104962.524169922,37853887.47290039,639210.0666503906,1982738.0327148438
39,123.0553281928141,0.0021255644654031448,0.007342889937107232,1074709.1967773438,8347717.174560547,10938348.312011719,12034222.574707031,7484998.653076172,13687066.178710938,14025359.94921875,14239919.098632812
40,124.05220360321653,0.010337444660619454,0.018320143788729874,160374.19311523438,343771.3723144531,440856.4050292969,1032159.4794921875,205616.19372558594,331312.232421875,682540.5334472656,1467866.5639648438
41,124.05866722099226,0.0021261349999946665,0.007188753888905333,0.0,461991.22802734375,661920.6123046875,758617.84765625,0.0,804587.3188476562,835016.2770996094,867524.595703125
